;Identificador do acidente;Data;Dia da semana;Horário;Estado;BR;km;Município;Causa do acidente;Tipo do acidente;Gravidade do acidente;Fase do dia;Sentido da via;Condição do tempo;Tipo de pista;Traçado da via;uso_solo;Número de passageiros;Número de cavaleiro;Número de condutor;Número de pedestre
33379;609595;2024-06-23;domingo;17:40:00;SP;153.0;18.5;NOVA GRANADA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Simples;Reta;Rural;1;0;1;0
33390;609608;2024-06-23;domingo;22:30:00;SP;381.0;80.5;SAO PAULO;Ingestão de álcool pelo condutor;Colisão traseira;Sem Vítimas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;1;0
33430;609650;2024-06-24;segunda-feira;07:30:00;SP;116.0;219.0;GUARULHOS;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;Reta;Urbano;0;0;2;0
33431;609651;2024-06-24;segunda-feira;07:00:00;SP;116.0;216.0;GUARULHOS;Ausência de reação do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;Reta;Urbano;0;0;1;0
33448;609669;2024-06-24;segunda-feira;08:00:00;SP;116.0;95.7;PINDAMONHANGABA;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Declive";Urbano;1;0;1;0
33450;609671;2024-06-24;segunda-feira;08:00:00;SP;116.0;108.0;TAUBATE;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
33451;609672;2024-06-24;segunda-feira;08:10:00;SP;381.0;19.0;BRAGANCA PAULISTA;Demais falhas mecânicas ou elétricas;Tombamento;Sem Vítimas;Pleno dia;Crescente;Ensolarado;Múltipla;Rotatória;Urbano;0;0;1;0
33462;609683;2024-06-24;segunda-feira;10:00:00;SP;116.0;224.5;GUARULHOS;Ausência de reação do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;"Reta;Em Obras";Urbano;0;0;1;0
33467;609688;2024-06-24;segunda-feira;10:55:00;SP;381.0;35.0;ATIBAIA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Crescente;Ensolarado;Múltipla;"Declive;Reta;Em Obras";Urbano;0;0;2;0
33478;609701;2024-06-24;segunda-feira;12:39:00;SP;381.0;33.0;ATIBAIA;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;Reta;Rural;0;0;2;0
